5957
16-10-241-001-000,"7840 VIBURNUM DR, LINCOLN, NE  68516",2013012369,560000,2013-03-05T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=135345&PropertyOwnerID=521787&NodeID=11,3001
16-10-241-008-000,"7806 VIBURNUM DR, LINCOLN, NE  68516",2013017000,430000,2013-04-02T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=135352&PropertyOwnerID=522877&NodeID=11,3002
16-10-245-001-000,"4455 S 80TH ST, LINCOLN, NE  68516",2014000307,75000,2013-12-27T06:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137391&PropertyOwnerID=535640&NodeID=11,3003
16-10-245-002-000,"4501 S 80TH ST, LINCOLN, NE  68516",2013026770,87500,2013-05-02T05:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137392&PropertyOwnerID=525166&NodeID=11,3004
16-10-245-005-000,"4615 S 80TH ST, LINCOLN, NE  68516",2013053234,452000,2013-10-09T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137395&PropertyOwnerID=532182&NodeID=11,3005
16-10-245-013-000,"4630 HAWTHORNE DR, LINCOLN, NE  68516",2013031767,390000,2013-06-14T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137403&PropertyOwnerID=526361&NodeID=11,3006
16-10-245-017-000,"4540 HAWTHORNE DR, LINCOLN, NE  68516",2013046324,79900,2013-08-21T05:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137407&PropertyOwnerID=530299&NodeID=11,3007
16-10-246-010-000,"4701 HAWTHORNE DR, LINCOLN, NE  68516",2013057731,83000,2013-11-06T06:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=137422&PropertyOwnerID=560320&NodeID=11,3008
16-14-106-010-000,"5950 ARROWWOOD RD, LINCOLN, NE  68526",2013041491,258000,2013-07-24T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=68448&PropertyOwnerID=566062&NodeID=11,3009
16-14-115-001-000,"9100 FOXTAIL DR, LINCOLN, NE  68526",2013006152,270000,2013-01-28T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=68505&PropertyOwnerID=520519&NodeID=11,3010
16-14-117-011-000,"8925 FOXTAIL DR, LINCOLN, NE  68526",2013028925,237000,2013-06-03T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=68526&PropertyOwnerID=586309&NodeID=11,3011
16-14-117-012-000,"6100 BLACKSTONE RD, LINCOLN, NE  68526",2013037942,267104,2013-07-16T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=68527&PropertyOwnerID=601067&NodeID=11,3012
16-14-121-005-000,"6019 LAROCHE RD, LINCOLN, NE  68516",2013026166,149900,2013-05-17T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132533&PropertyOwnerID=525031&NodeID=11,3013
16-14-121-007-000,"6025 LAROCHE RD, LINCOLN, NE  68516",2013034621,147900,2013-06-18T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132535&PropertyOwnerID=542111&NodeID=11,3014
16-14-121-008-000,"6029 LAROCHE RD, LINCOLN, NE  68516",2013030761,149900,2013-06-12T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132536&PropertyOwnerID=526110&NodeID=11,3015
16-16-153-003-000,"6323 POMODORO CT, LINCOLN, NE  68516",2013018557,70000,2013-04-03T05:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140018&PropertyOwnerID=584375&NodeID=11,3016
16-10-304-025-000,"7200 GRAND OAKS DR, LINCOLN, NE  68516",2013053420,241000,2013-10-08T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=67048&PropertyOwnerID=532245&NodeID=11,3017
16-16-153-006-000,"6322 POMODORO CT, LINCOLN, NE  68516",2013041303,589000,2013-07-22T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140021&PropertyOwnerID=528957&NodeID=11,3018
16-10-308-028-000,"5434 THIES COVE DR, LINCOLN, NE  68516",2013002100,155500,2013-01-08T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=67105&PropertyOwnerID=519953&NodeID=11,3019
16-16-153-011-000,"6317 ARTISAN WAY, LINCOLN, NE  68516",2013027561,389400,2013-05-17T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140026&PropertyOwnerID=525370&NodeID=11,3020
16-10-308-029-000,"5428 THIES COVE DR, LINCOLN, NE  68516",2013063424,138500,2013-12-13T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=67106&PropertyOwnerID=535023&NodeID=11,3021
16-14-121-010-000,"6105 LAROCHE RD, LINCOLN, NE  68516",2013034619,147900,2013-06-27T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132538&PropertyOwnerID=542102&NodeID=11,3022
16-16-153-016-000,"6515 ARTISAN WAY, LINCOLN, NE  68516",2013041226,350000,2013-07-25T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140031&PropertyOwnerID=528942&NodeID=11,3023
16-16-153-016-000,"6515 ARTISAN WAY, LINCOLN, NE  68516",2013001183,66000,2013-01-02T06:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140031&PropertyOwnerID=528942&NodeID=11,3024
16-16-154-001-000,"6230 ARTISAN WAY, LINCOLN, NE  68516",2013020094,230000,2013-04-15T05:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140033&PropertyOwnerID=536103&NodeID=11,3025
16-10-308-029-000,"5428 THIES COVE DR, LINCOLN, NE  68516",2013063424,138500,2013-12-13T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=67106&PropertyOwnerID=535024&NodeID=11,3026
16-16-154-002-000,"6240 ARTISAN WAY, LINCOLN, NE  68516",2013055147,333319,2013-10-21T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140034&PropertyOwnerID=532695&NodeID=11,3027
16-14-121-011-000,"6107 LAROCHE RD, LINCOLN, NE  68516",2013030334,147900,2013-06-05T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132539&PropertyOwnerID=561011&NodeID=11,3028
16-16-154-002-000,"6240 ARTISAN WAY, LINCOLN, NE  68516",2013020094,230000,2013-04-15T05:00:00.000Z,Residential Improved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=140034&PropertyOwnerID=532695&NodeID=11,3029
16-14-121-012-000,"6111 LAROCHE RD, LINCOLN, NE  68516",2013021274,149900,2013-04-19T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=132540&PropertyOwnerID=523550&NodeID=11,3030
16-10-311-011-000,"5639 S 73RD ST, LINCOLN, NE  68516",2013025714,182900,2013-05-07T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=67149&PropertyOwnerID=524893&NodeID=11,3031
