7288
17-33-307-002-000,"2208 S 56TH ST, LINCOLN, NE  68506",2017025019,120500,2017-06-13T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=107355&PropertyOwnerID=595058&NodeID=11,7001
20-03-413-001-000,"110 WILLOW ST, PANAMA, NE",2017003020,129000,2017-01-13T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=111246&PropertyOwnerID=587715&NodeID=11,7002
17-34-203-005-000,"8110 IMPERIAL CIR, LINCOLN, NE  68506",2017025117,182200,2017-06-15T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=108307&PropertyOwnerID=595075&NodeID=11,7003
21-11-117-002-000,"1185 HACKBERRY ST, BENNET, NE",2017020789,38000,2017-05-16T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=155562&PropertyOwnerID=603293&NodeID=11,7004
17-33-313-011-000,"5700 NORMAL BLVD, LINCOLN, NE  68506",2017012045,157000,2017-03-24T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=107424&PropertyOwnerID=599589&NodeID=11,7005
17-34-204-003-000,"1416 IMPERIAL DR, LINCOLN, NE  68506",2017033190,248500,2017-08-07T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=108318&PropertyOwnerID=597827&NodeID=11,7006
23-31-403-002-000,"11700 SECRETARIAT DR, LINCOLN, NE  68461",2017031412,1100000,2017-07-27T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=113675&PropertyOwnerID=597199&NodeID=11,7007
21-11-117-004-000,"1145 HACKBERRY ST, BENNET, NE",2017047363,280271,2017-11-07T06:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=155564&PropertyOwnerID=601865&NodeID=11,7008
20-04-100-003-000,"",2017010892,350000,2017-03-17T05:00:00.000Z,Ag Unimproved,V,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=111248&PropertyOwnerID=591091&NodeID=11,7009
17-34-204-008-000,"1415 JANSSEN DR, LINCOLN, NE  68506",2017018517,269900,2017-05-03T05:00:00.000Z,Residential Improved,I,http://orion.lancaster.ne.gov/Appraisal/PublicAccess/PropertyDataSheet.aspx?PropertyID=108323&PropertyOwnerID=592717&NodeID=11,7010
